"feature.feature","feature.group","feature.avgExpr","feature.logFC","feature.statistic","feature.auc","feature.pval","feature.padj","feature.pct_in","feature.pct_out"
"Il18r1","5",1.10052624322121,0.914161802470644,8668661334,0.698116222396203,0,0,47.6779529228812,8.24469539538445
"Krt19","5",0.946262828274198,0.805621501715369,8433408285,0.679170509379256,0,0,42.10786739238,6.37600714572168
"Krt7","5",1.35318061353041,1.22396175890518,9438735316.5,0.760132849752487,0,0,57.3372446455079,5.97428816216413
"Myl12a","5",1.29142733063762,0.834602845615061,8442706993.00391,0.679919365362289,0,0,55.3756980278504,20.2026140216559
"Pdgfa","5",0.88709347302971,0.748079904941911,8328273765,0.670703675675883,0,0,40.4785466883438,6.43411170658792
"Rgcc","5",1.42453563689893,1.14383483847241,9051809522.52344,0.72897242448831,0,0,56.5066798614547,12.591827992271
"S100a6","5",1.99953687792957,1.45293069136799,9609990905.32422,0.773924633757853,0,0,72.4287834876652,23.0401673411353
"Spock2","5",2.12718163025612,1.9069528127604,10463881585.5,0.842691299453464,0,0,74.8851346575246,9.64353421561121
"Tpm1","5",1.34123052032271,0.77540546691184,8242537235.50781,0.663799026874379,0,0,56.4748709973846,23.7011921688724
"Vegfa","5",3.21095732096805,2.53967483483838,10997686202.4844,0.885680366432601,0,0,86.6685516363894,27.112271683255
"Alcam","6",1.22259840843809,0.903387171358875,4975021750.57422,0.683476401957392,0,0,49.216184398042,14.4275518326279
"Atp5e","6",1.22807450516061,0.804485940239186,4833246166.75391,0.663999046726989,0,0,49.4888159117665,18.940665470856
"Cd24a","6",1.2672047087606,1.15110035325117,5290010506.5,0.726750058305194,0,0,49.7862321085569,5.48890401513018
"Cd55","6",1.11585454975773,0.843362475865781,4908047763.5,0.674275409076317,0,0,45.9260177210484,12.7140985191311
"Cd9","6",1.31927236151622,0.716060457550386,4671404846.33203,0.641765028683307,0,0,51.0750356279819,26.3157427957581
"Cdh1","6",1.12619758445121,0.913128212623728,5015983225.5,0.689103754540908,0,0,46.4588884069645,9.94170977275902
"Ctnnb1","6",1.39983824645131,0.774346118735111,4776431298.93359,0.656193729809323,0,0,54.9352500154904,26.8099570084631
"Ezr","6",1.03562679457272,0.742404629560284,4746809904.69531,0.652124295549542,0,0,42.4003965549291,13.5313589893109
"Glul","6",1.32829477001813,0.944513034640744,5001748662.06641,0.687148187573205,0,0,51.886733998389,17.1888545715369
"Hsp90aa1","6",1.32156516031764,1.0801371903546,5140660537,0.706232121921393,0,0,50.0464712807485,11.3137140563923
"Hsp90ab1","6",1.43970916624047,1.01233676022256,5101875647.35938,0.700903792086688,0,0,55.5052977260053,19.3275671313182
"Krt19","6",0.907485117304016,0.743744624566605,4783850923.5,0.657213049634796,0,0,38.4038664105583,7.47152558983103
"Krt8","6",1.29654946582539,1.08644546511925,5199935007,0.714375342899041,0,0,50.8581696511556,9.33707892572153
"Ldha","6",1.24009839818909,0.742138619377423,4742829301.75781,0.651577433985966,0,0,49.7924282793234,22.524549963527
"Mt1","6",1.14772075613553,0.998684631903674,5003223680,0.687350827883261,0,0,43.143937046905,6.62100709726198
"Ppia","6",2.65944850478264,1.2992084050021,5509854211.57031,0.756952536217395,0,0,83.524381931966,50.7566200093566
"Sod1","6",2.63849720473093,1.64227097103162,5954590709.125,0.818051143702423,0,0,83.4995972489002,41.1851828858651
"Tpt1","6",2.17095553474579,1.15448705231537,5245983453.29297,0.720701551700925,0,0,74.1495755623025,39.9925502029848
"Tubb4b","6",1.90815946756746,1.47382872849583,5552275190.77734,0.762780397820731,0,0,64.7685730218725,19.8193424223813
"Uba52","6",1.94409862937225,0.92897795327318,4946641584.73047,0.679577489628898,0,0,69.5396245120516,39.964835184327
"Cd19","7",0.712802196039292,0.676961360789825,4468141473.5,0.632920485299704,0,0,28.0716341541413,1.64111241287819
"Cd22","7",0.546347631841925,0.473780662176719,4184200581.5,0.592699733958924,0,0,21.7013111608571,3.46959069637649
"Cd37","7",1.35363838835542,1.16288434623869,5016319032,0.710570848076702,0,0,48.6856411896386,8.73089521464023
"Cd52","7",0.623145047812253,0.486285675550517,4223762352.5,0.598303731828987,0,0,25.378957467221,5.94454767531222
"Cd55","7",0.787553544167292,0.502751929210448,4170451665.5,0.590752174635058,0,0,29.6066517428846,13.3162651736456
"Cd74","7",2.74360489817448,1.76105174197951,5488437494.82031,0.777447299590024,0,0,79.6546210425328,33.083143051406
"Cd79a","7",0.82730163557376,0.753924148715162,4564369648,0.646551383798613,0,0,32.3121202430445,3.45430908281527
"Csk","7",0.808292073259017,0.479010379309488,4177324774.19922,0.591725763166045,0,0,31.7748640869843,14.919284288951
